node,cpu,mem,cpu_percent,mem_percent
top,0,4481,0.0,0.00000
zsh,0,2097,0.0,0.00000
sshd,0,2545,0.0,0.00000
sshd,0,4417,0.0,0.00000
Python,0,22528.0,0.0,0.00000
AXVisualSupportA,0,8130,0.0,0.00000
mdworker_shared,0,2769,0.0,0.00000
mdworker_shared,0,2849,0.0,0.00000
mdworker_shared,0,2785,0.0,0.00000
mdworker_shared,0,3201,0.0,0.00000
Google,3,1,Chrome,sleeping
Google,3,1,Chrome,sleeping
Google,3,1,Chrome,sleeping
mdworker_shared,0,3185,0.0,0.00000
mdworker_shared,0,2913,0.0,0.00000
mdworker_shared,0,3025,0.0,0.00000
findmydeviced,0,3073,0.0,0.00000
keyboardservices,0,4177,0.0,0.00000
SetStoreUpdateSe,0,3073,0.0,0.00000
com.apple.iCloud,0,3681,0.0,0.00000
com.apple.hiserv,0,1937,0.0,0.00000
coresymbolicatio,0,2689,0.0,0.00000
ServiceExtension,0,14336.0,0.0,0.00000
AppSSODaemon,0,5345,0.0,0.00000
GSSCred,0,3393,0.0,0.00000
AppSSOAgent,0,12288.0,0.0,0.00000
mdworker_shared,0,4033,0.0,0.00000
mdworker_shared,0,3137,0.0,0.00000
mdworker_shared,0,2993,0.0,0.00000
smd,0,1537,0.0,0.00000
swcd,0,3169,0.0,0.00000
contentlinkingd,0,4577,0.0,0.00000
MTLCompilerServi,0,13312.0,0.0,0.00000
sandboxd,0,3873,0.0,0.00000
CoreLocationAgen,0,6226,0.0,0.00000
calaccessd,0,8801,0.0,0.00000
proactived,0,4641,0.0,0.00000
localizationswit,0,2929,0.0,0.00000
CloudKeychainPro,0,2673,0.0,0.00000
extensionkitserv,0,3281,0.0,0.00000
osanalyticshelpe,0,3169,0.0,0.00000
sysmond,0,1681,0.0,0.00000
com.apple.access,0,2801,0.0,0.00000
com.apple.toneli,0,1841,0.0,0.00000
com.apple.audio.,0,2961,0.0,0.00000
voicebankingd,0,5665,0.0,0.00000
com.apple.SiriTT,0,5393,0.0,0.00000
com.apple.SiriTT,0,4801,0.0,0.00000
com.apple.audio.,0,4865,0.0,0.00000
com.apple.audio.,0,3281,0.0,0.00000
com.apple.audio.,0,4913,0.0,0.00000
com.apple.audio.,0,3281,0.0,0.00000
com.apple.audio.,0,4977,0.0,0.00000
MauiAUSP,0,10240.0,0.0,0.00000
KonaSynthesizer,0,3713,0.0,0.00000
MacinTalkAUSP,0,10240.0,0.0,0.00000
WardaSynthesizer,0,6081,0.0,0.00000
SiriAUSP,0,3505,0.0,0.00000
WardaSynthesizer,0,7693,0.0,0.00000
com.apple.audio.,0,1617,0.0,0.00000
pbs,0,2753,0.0,0.00000
axassetsd,0,10240.0,0.0,0.00000
mobileactivation,0,3041,0.0,0.00000
transparencyd,0,8785,0.0,0.00000
AssetCacheLocato,0,2401,0.0,0.00000
ContextService,0,4817,0.0,0.00000
com.apple.CloudD,0,3457,0.0,0.00000
extensionkitserv,0,3153,0.0,0.00000
AppleCredentialM,0,2065,0.0,0.00000
SidecarRelay,0,3857,0.0,0.00000
coreduetd,0,6786,0.0,0.00000
ManagedSettingsA,0,3489,0.0,0.00000
VTDecoderXPCServ,0,40960.0,0.0,0.00000
WiFiVelocityAgen,0,3249,0.0,0.00000
CarbonComponentS,0,7205,0.0,0.00000
AudioComponentRe,0,3537,0.0,0.00000
dmd,0,4689,0.0,0.00000
CoreServicesUIAg,0,8738,0.0,0.00000
syncdefaultsd,0,4753,0.0,0.00000
CMFSyncAgent,0,2721,0.0,0.00000
coreauthd,0,3617,0.0,0.00000
ctkd,0,3601,0.0,0.00000
IntelligencePlat,0,11264.0,0.0,0.00000
BiomeAgent,0,8497,0.0,0.00000
containermanager,0,3873,0.0,0.00000
countryd,0,2673,0.0,0.00000
keychainsharingm,0,5265,0.0,0.00000
backupd-helper,0,2177,0.0,0.00000
com.apple.hiserv,0,2369,0.0,0.00000
AquaAppearanceHe,0,8258,0.0,0.00000
online-auth-agen,0,3025,0.0,0.00000
mobileassetd,0,9505,0.0,0.00000
ThumbnailExtensi,0,6866,0.0,0.00000
usermanagerd,0,2305,0.0,0.00000
pkd,0,3825,0.0,0.00000
replayd,0,9857,0.0,0.00000
com.apple.quickl,0,6225,0.0,0.00000
maild,0,3857,0.0,0.00000
businessservices,0,3649,0.0,0.00000
idleassetsd,0,11264.0,0.0,0.00000
ospredictiond,0,3425,0.0,0.00000
containermanager,0,2177,0.0,0.00000
trustd,0,5073,0.0,0.00000
cfprefsd,0,2593,0.0,0.00000
secinitd,0,3873,0.0,0.00000
secinitd,0,3009,0.0,0.00000
com.apple.geod,0,8913,0.0,0.00000
com.apple.geod,0,6161,0.0,0.00000
containermanager,0,2225,0.0,0.00000
trustdFileHelper,0,2993,0.0,0.00000
trustd,0,5121,0.0,0.00000
cfprefsd,0,2849,0.0,0.00000
secinitd,0,3073,0.0,0.00000
com.apple.geod,0,6225,0.0,0.00000
fmfd,0,4961,0.0,0.00000
contactsd,0,8113,0.0,0.00000
CallHistoryPlugi,0,6705,0.0,0.00000
neagent,0,2193,0.0,0.00000
nehelper,0,3777,0.0,0.00000
TrustedPeersHelp,0,5073,0.0,0.00000
adid,0,2001,0.0,0.00000
CallHistorySyncH,0,8305,0.0,0.00000
hidd,0,2033,0.0,0.00000
Google,3,1,Chrome,sleeping
IMDPersistenceAg,0,6225,0.0,0.00000
siriknowledged,0,9425,0.0,0.00000
promotedcontentd,0,5521,0.0,0.00000
com.apple.geod,0,9713,0.0,0.00000
wifivelocityd,0,3969,0.0,0.00000
AuthenticationSe,0,4481,0.0,0.00000
cdpd,0,3633,0.0,0.00000
biometrickitd,0,4193,0.0,0.00000
routined,0,14336.0,0.0,0.00000
followupd,0,3025,0.0,0.00000
donotdisturbd,0,7377,0.0,0.00000
ScreenTimeAgent,0,8385,0.0,0.00000
amsaccountsd,0,6481,0.0,0.00000
parsecd,0,6801,0.0,0.00000
akd,0,7633,0.0,0.00000
securityd_system,0,2641,0.0,0.00000
wifip2pd,0,3489,0.0,0.00000
CommCenter,0,6417,0.0,0.00000
com.apple.appkit,0,29696.0,0.0,0.00000
rcd,0,3873,0.0,0.00000
Google,5,1,Chrome,sleeping
Spotify,0,75,Helper,*0[2]
Spotify,0,212,Helper,*0[6]
Spotify,2,1,Helper,sleeping
Spotify,0,74,Helper,*0[2]
Spotify,0,104,Helper,*0[2]
Spotify,12,1,Helper,sleeping
Spotify,0,34,Helper,*0[1]
Spotify,0,150528.0,0.0,0.00000
com.apple.Accoun,0,2641,0.0,0.00000
intelligentrouti,0,4689,0.0,0.00000
audioanalyticsd,0,4337,0.0,0.00000
netbiosd,0,2993,0.0,0.00000
suggestd,0,13312.0,0.0,0.00000
